Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
▲,,,,,,,,,,,,,,,,,,,,,,,,
1,Lucas Abascia,ar ARG,DF,Querétaro,30-072,1995,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
2,José Abella,mx MEX,DF,Santos Laguna,32-010,1994,21,21,"1,596",17.7,0,5,5,0,0,0,3,1,0,0.28,0.28,0,0.28,Matches
3,Diego Abreu,uy URU,FW,Tijuana,22-177,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Carlos Acevedo,mx MEX,GK,Santos Laguna,29-307,1996,23,23,"2,049",22.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Alonso Aceves,mx MEX,DF,Pachuca,24-329,2001,15,15,"1,288",14.3,1,2,3,1,0,0,2,1,0.07,0.14,0.21,0.07,0.21,Matches
6,Alonso Aceves,mx MEX,DF,Monterrey,24-329,2001,6,5,469,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Sebastián Aceves,mx MEX,DF,Toluca,20-062,2005,2,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
8,Eduardo Águila,mx MEX,DF,Atlético San Luis,23-279,2002,20,19,"1,788",19.9,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
9,Daniel Aguirre,us USA,DF,Guadalajara,26-233,1999,16,12,"1,048",11.6,3,2,5,3,0,0,4,0,0.26,0.17,0.43,0.26,0.43,Matches
10,Eduardo Aguirre,mx MEX,"FW,MF",Atlas,27-201,1998,17,7,787,8.7,1,2,3,1,0,0,2,0,0.11,0.23,0.34,0.11,0.34,Matches
11,Érick Aguirre,mx MEX,"DF,MF",Monterrey,28-362,1997,12,7,602,6.7,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
12,Gaddi Aguirre,mx MEX,DF,Atlas,29-326,1996,22,22,"1,980",22,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,Matches
13,Rodrigo Aguirre,uy URU,FW,América,31-142,1994,18,11,998,11.1,4,0,4,4,0,0,1,0,0.36,0,0.36,0.36,0.36,Matches
14,Rodrigo Aguirre,uy URU,FW,UANL,31-142,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Jorge Agustín Rodríguez,ar ARG,MF,Monterrey,30-158,1995,21,16,"1,369",15.2,1,0,1,1,0,0,4,1,0.07,0,0.07,0.07,0.07,Matches
16,Jesús Alberto Angulo,mx MEX,DF,UANL,28-021,1998,12,6,603,6.7,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
17,Jesús Alcantar,mx MEX,DF,Necaxa,22-205,2003,4,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Alexandre Alemão,br BRA,FW,Pachuca,27-325,1998,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Daniel Alexis Parra,mx MEX,DF,Querétaro,26-215,1999,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Luis Alfonso Rodríguez,mx MEX,DF,Pachuca,35-030,1991,4,4,314,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Guillermo Allison,mx MEX,GK,Querétaro,35-148,1990,18,18,"1,620",18,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
22,Facundo Almada,ar ARG,DF,Mazatlán,27-225,1998,23,23,"2,070",23,6,0,6,6,0,0,2,0,0.26,0,0.26,0.26,0.26,Matches
23,Agustín Almendra,ar ARG,MF,Necaxa,26-009,2000,5,2,241,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Ricardo Alonso,mx MEX,DF,Necaxa,18-311,2007,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Alfonso Alvarado,mx MEX,FW,Monterrey,25-342,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
26,Alfonso Alvarado,mx MEX,"FW,MF",León,25-342,2000,16,12,928,10.3,2,0,2,2,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
27,Roberto Alvarado,mx MEX,"MF,FW",Guadalajara,27-166,1998,18,15,"1,310",14.6,4,3,7,4,0,0,0,0,0.27,0.21,0.48,0.27,0.48,Matches
28,Alek Álvarez,mx MEX,MF,Toluca,22-324,2003,3,0,74,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
29,Efrain Alvarez,mx MEX,"MF,FW",Guadalajara,23-246,2002,23,20,"1,516",16.8,3,5,8,3,0,1,0,0,0.18,0.3,0.47,0.18,0.47,Matches
30,Kevin Álvarez,mx MEX,"DF,MF",América,27-036,1999,20,16,"1,498",16.6,1,1,2,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,Matches
31,Fidel Ambríz,mx MEX,MF,Monterrey,22-336,2003,19,14,"1,270",14.1,1,0,1,1,0,0,1,0,0.07,0,0.07,0.07,0.07,Matches
32,Bruno Amione,ar ARG,DF,Santos Laguna,24-048,2002,22,21,"1,776",19.7,3,1,4,3,0,0,6,0,0.15,0.05,0.2,0.15,0.2,Matches
33,Alejandro Andrade,mx MEX,MF,Necaxa,24-188,2001,5,1,97,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
34,Luis Ángel Malagón,mx MEX,GK,América,28-355,1997,21,21,"1,890",21,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
35,Álvaro Angulo,co COL,DF,UNAM,28-262,1997,19,18,"1,621",18,3,2,5,2,1,2,4,2,0.17,0.11,0.28,0.11,0.22,Matches
36,Jesús Angulo,mx MEX,MF,Toluca,29-000,1997,21,19,"1,474",16.4,5,4,9,5,0,0,1,0,0.31,0.24,0.55,0.31,0.55,Matches
37,José Antonio Rodríguez,mx MEX,GK,Tijuana,33-231,1992,23,22,"2,059",22.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
38,Uriel Antuna,mx MEX,MF,UNAM,28-183,1997,3,1,136,1.5,0,1,1,0,0,0,1,0,0,0.66,0.66,0,0.66,Matches
39,Uriel Antuna,mx MEX,MF,UANL,28-183,1997,12,2,229,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Javier Aquino,mx MEX,DF,FC Juárez,36-009,1990,4,3,227,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Javier Aquino,mx MEX,"DF,MF",UANL,36-009,1990,16,16,"1,345",14.9,0,2,2,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches
42,Ángelo Araos,cl CHI,"MF,FW",Puebla,29-045,1997,7,2,233,2.6,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
